epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0039,2.74722,3.33096,2.40207,0.10507,0.12283,0.04238,0.01363,2.86807,6.17436,2.7439,0.00031673,0.00031673,0.00031673
2,34.7013,2.53819,2.66406,2.16932,0.04353,0.09659,0.01997,0.00585,3.11918,31.9165,3.66844,0.000643694,0.000643694,0.000643694
3,70.0537,2.5704,2.58086,2.11428,0.08577,0.12493,0.02594,0.00782,3.03456,33.3152,4.31689,0.000964056,0.000964056,0.000964056
4,103.334,2.5422,2.55118,2.17096,0.06994,0.09501,0.01949,0.00595,nan,nan,nan,0.00127782,0.00127782,0.00127782
5,133.955,2.59568,2.56253,2.14153,0.0035,0.10499,0.00193,0.00058,4.0984,inf,28.0893,0.00158498,0.00158498,0.00158498
6,166.386,2.60127,2.5658,2.1197,0.03434,0.00997,0.00349,0.0013,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,192.112,2.54328,2.51499,2.09602,0.00363,0.00157,0.00206,0.00028,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,220.823,2.52243,2.4648,2.07828,0.08891,0.10446,0.03849,0.01181,3.00329,11.3859,2.92472,0.00155148,0.00155148,0.00155148
9,249.516,2.51198,2.5025,2.0753,0.0963,0.14016,0.04869,0.01647,3.04102,6.78641,2.5981,0.00153497,0.00153497,0.00153497
10,276.934,2.50639,2.44912,2.06877,0.07028,0.11969,0.03057,0.00964,2.99268,5.82494,2.56831,0.00151847,0.00151847,0.00151847
11,306.577,2.45936,2.41817,2.05044,0.15027,0.11444,0.05562,0.01809,2.95888,3.79764,2.46388,0.00150197,0.00150197,0.00150197
12,336.509,2.43973,2.44091,2.03712,0.10818,0.13176,0.05855,0.02212,2.746,3.3919,2.36268,0.00148546,0.00148546,0.00148546
13,352.996,2.44651,2.4596,2.03975,0.16953,0.15328,0.08484,0.02687,2.70631,3.00507,2.31963,0.00146896,0.00146896,0.00146896
14,391.11,2.44897,2.42159,2.03018,0.14391,0.15906,0.07186,0.0252,2.68951,2.93963,2.25538,0.00145246,0.00145246,0.00145246
15,414.845,2.39637,2.39402,1.98034,0.16468,0.13386,0.07749,0.02555,2.74382,3.01826,2.29914,0.00143595,0.00143595,0.00143595
16,435.375,2.38186,2.38832,1.95383,0.15573,0.13753,0.07939,0.02783,2.73237,2.80333,2.2082,0.00141945,0.00141945,0.00141945
17,476.98,2.39627,2.37794,1.95534,0.1828,0.17008,0.10609,0.03703,2.61954,2.60732,2.20393,0.00140295,0.00140295,0.00140295
